"","Mean","SD","Naive SE","Time-series SE"
"beta_iter[49]",0.462953527597241,0.0461152840070889,0.000595345756550269,0.00166049941253604
"beta_iter[50]",0.454436513753931,0.0348966481194962,0.000450513790017564,0.000833850723008714
"beta_iter[51]",0.587192050211576,0.0623313390593641,0.000804694127079084,0.0034521611803429
"beta_iter[52]",0.495387884570906,0.0588485278953578,0.000759731228291811,0.00294006846674147
"beta_iter[53]",0.454078919350512,0.0477957322277927,0.000617040249793434,0.00190995884156913
"beta_iter[54]",0.571908299148986,0.0373412502328179,0.000482073467594225,0.00101884655487196
"beta_iter[55]",0.428318632072565,0.0362900719893794,0.000468502814825116,0.000931643715591359
"beta_iter[56]",0.52891246138984,0.0368984257441918,0.000476356628028419,0.000951789531483286
"beta_iter[57]",0.485296809101428,0.0537486824210933,0.000693892506324952,0.00236281484931111
"beta_iter[58]",0.553093672504514,0.0442170965866538,0.00057084026232585,0.0014986179226202
"beta_iter[59]",0.601232053108735,0.0840069932455777,0.00108452561935027,0.0073264855185202
"beta_iter[60]",0.540684122072904,0.0921638719118349,0.00118983047012177,0.00804002745223043
"beta_iter[61]",0.46517990568913,0.0358175008557104,0.000462401947723122,0.000872332843085976
"beta_iter[62]",0.581707087359186,0.0567121234718272,0.000732150365781486,0.00274756394075921
"beta_iter[63]",0.592150397486216,0.0460390843257461,0.000594362022894178,0.00183897247994622
"beta_iter[64]",0.396402156814762,0.03478846786651,0.000449117188956884,0.000894526583200135
"beta_iter[65]",0.525508041630001,0.0446743506344652,0.000576743386699714,0.00150563571196762
"beta_iter[66]",0.463025151153735,0.0413148336330425,0.000533372208707012,0.00121699583838999
"beta_iter[67]",0.568432807611236,0.0422348008388635,0.000545248934264351,0.00136640944862126
"beta_iter[68]",0.436746317500165,0.0482925763339318,0.000623454479622561,0.0017840834435167
"beta_iter[69]",0.423500842641138,0.0350458757441765,0.000452440310368166,0.00087637906935145
"beta_iter[70]",0.651252293526701,0.0578247857158156,0.000746514773584555,0.00338652502279189
"beta_iter[71]",0.621277147737293,0.0594591008939528,0.000767613691809152,0.00343578348828675
"beta_iter[72]",0.460267149429703,0.0517145084327843,0.000667631433058255,0.0019866216247674
"beta_iter[73]",0.443250947877199,0.0392807040437664,0.000507111708629366,0.00108605571717973
"beta_iter[74]",0.518790003726368,0.041438458825973,0.000534968203084983,0.00122167380615394
"beta_iter[75]",0.628654335544878,0.0397241665636556,0.000512836785143359,0.00134876621724472
"beta_iter[76]",0.599202689592886,0.0700727687433705,0.000904635554552392,0.00489972873919329
"beta_iter[77]",0.464318247147039,0.0542214916525443,0.000699996447256095,0.00236919365985167
"beta_iter[78]",0.439531285700998,0.043013103448978,0.000555296777755296,0.0014306370311993
"beta_iter[79]",0.584282103916098,0.0749192039167515,0.00096720276360232,0.00553720184905152
"beta_iter[80]",0.528447713447634,0.0581730439747392,0.000751010768374522,0.00272681787091247
"beta_iter[81]",0.613208456853357,0.0419197171480149,0.000541181221306624,0.00160193878363507
"beta_iter[82]",0.475497201342095,0.0447045509775505,0.000577133271452446,0.00160915817417991
"beta_iter[83]",0.48998083889203,0.0534176207453264,0.00068961851846891,0.00256228546669705
